id;sortorder;country;name;label
5596;;Azerbaijan;Azerbaijan Cup;Azerbaijan Cup
11067;;Azerbaijan;I Divizion;I Divizion
3590;;Azerbaijan;Premier League;Premier League
12622;;Azerbaijan;Premier League, Championship Round;Premier League, Championship Round
12623;;Azerbaijan;Premier League, Relegation Round;Premier League, Relegation Round
30522;;Azerbaijan;Super Cup;Super Cup
4323;;Bahrain;King of Bahrain Cup;King of Bahrain Cup
4050;;Bahrain;Premier League;Premier League
20989;;Bahrain;Premier League, Relegation/Promotion;Premier League, Relegation/Promotion
3112;;Belarus;Cup;Cup
8512;;Belarus;Pervaya Liga;Pervaya Liga
12472;;Belarus;Super Cup;Super Cup
616;;Belarus;Vysshaya League;Vysshaya League
29607;;Belarus;Vysshaya League, Championship Group;Vysshaya League, Championship Group
29608;;Belarus;Vysshaya League, Relegation Group;Vysshaya League, Relegation Group
14373;;Belarus;Vysshaya League, Relegation/Promotion;Vysshaya League, Relegation/Promotion
206;;Belgium;Beker van Belgie;Beker van Belgie
12317;;Belgium;Beloften Pro League;Beloften Pro League
32548;;Belgium;Beloften Pro League, Group A;Beloften Pro League, Group A
32549;;Belgium;Beloften Pro League, Group B;Beloften Pro League, Group B
38;1;Belgium;Pro League;Pro League
12656;1;Belgium;Pro League, Championship Round;Pro League, Championship Round
12657;1;Belgium;Pro League, Europa League Playoffs;Pro League, Europa League Playoffs
27292;1;Belgium;Pro League, Europa League Playoffs, Knockout stage;Pro League, Europa League Playoffs, Knockout stage
15545;1;Belgium;Pro League, Relegation Round;Pro League, Relegation Round
6159;1;Belgium;Pro League, Relegation/Promotion;Pro League, Relegation/Promotion
2755;1;Belgium;Super Cup;Super Cup
46128;;Belgium;Super League, Women;Super League, Women
692;;Belgium;Tweede Klasse;Tweede Klasse
1212;;Belgium;Tweede Klasse, Relegation/Promotion;Tweede Klasse, Relegation/Promotion
4330;;Bolivia;Liga Profesional Boliviano;Liga Profesional Boliviano
17139;;Bolivia;Liga Profesional Boliviano, Apertura;Liga Profesional Boliviano, Apertura
17141;;Bolivia;Liga Profesional Boliviano, Apertura Playoffs;Liga Profesional Boliviano, Apertura Playoffs
17140;;Bolivia;Liga Profesional Boliviano, Clausura;Liga Profesional Boliviano, Clausura
17142;;Bolivia;Liga Profesional Boliviano, Clausura Playoffs;Liga Profesional Boliviano, Clausura Playoffs
20743;;Bolivia;Liga Profesional Boliviano, Relegation/Promotion;Liga Profesional Boliviano, Relegation/Promotion
1237;;Bosnia & Herzegovina;Cup;Cup
2557;;Bosnia & Herzegovina;Premijer Liga;Premijer Liga
21002;;Bosnia & Herzegovina;Prva Liga - Republic of Srpska, Rel/Prom Playoffs;Prva Liga - Republic of Srpska, Rel/Prom Playoffs
11270;;Bosnia & Herzegovina;Prva Liga, Federacije BiH;Prva Liga, Federacije BiH
9142;;Bosnia & Herzegovina;Prva Liga, Republic of Srpska;Prva Liga, Republic of Srpska
7359;;Brazil;Baiano, 1 Divisao;Baiano, 1 Divisao
18866;;Brazil;Baiano, 1 Divisao, Playoffs;Baiano, 1 Divisao, Playoffs
18867;;Brazil;Baiano, 1 Divisao, Relegation;Baiano, 1 Divisao, Relegation
83;;Brazil;Brasileiro Serie A;Brasileiro Serie A
1449;;Brazil;Brasileiro Serie B;Brasileiro Serie B
27213;;Brazil;Brasileiro Serie C, Group A;Brasileiro Serie C, Group A
27214;;Brazil;Brasileiro Serie C, Group B;Brasileiro Serie C, Group B
5115;;Brazil;Brasileiro Serie C, Playoffs;Brasileiro Serie C, Playoffs
959;;Brazil;Carioca, Serie A;Carioca, Serie A
18869;;Brazil;Carioca, Serie A, Grand Final;Carioca, Serie A, Grand Final
10193;;Brazil;Carioca, Serie A, Placement matches;Carioca, Serie A, Placement matches
18868;;Brazil;Carioca, Serie A, Playoffs;Carioca, Serie A, Playoffs
10582;;Brazil;Carioca, Serie A, Relegation Playoffs;Carioca, Serie A, Relegation Playoffs
10499;;Brazil;Carioca, Serie A, Trofeu Carlos Alberto;Carioca, Serie A, Trofeu Carlos Alberto
7360;;Brazil;Catarinense, Serie A;Catarinense, Serie A
33601;;Brazil;Catarinense, Serie A, Championship Round;Catarinense, Serie A, Championship Round
18870;;Brazil;Catarinense, Serie A, Playoffs;Catarinense, Serie A, Playoffs
33602;;Brazil;Catarinense, Serie A, Relegation Round;Catarinense, Serie A, Relegation Round
7370;;Brazil;Cearense, Serie A;Cearense, Serie A
18871;;Brazil;Cearense, Serie A, Grand Final;Cearense, Serie A, Grand Final
40926;;Brazil;Cearense, Serie A, Group A1;Cearense, Serie A, Group A1
40927;;Brazil;Cearense, Serie A, Group A2;Cearense, Serie A, Group A2
10219;;Brazil;Cearense, Serie A, Playoffs;Cearense, Serie A, Playoffs
42071;;Brazil;Cearense, Serie A, Relegation;Cearense, Serie A, Relegation
33481;;Brazil;Cearense, Serie A, Second stage;Cearense, Serie A, Second stage
283;;Brazil;Copa do Brasil;Copa do Brasil
13149;;Brazil;Copa do Nordeste, Group A;Copa do Nordeste, Group A
31969;;Brazil;Copa do Nordeste, Group B;Copa do Nordeste, Group B
31970;;Brazil;Copa do Nordeste, Group C;Copa do Nordeste, Group C
31971;;Brazil;Copa do Nordeste, Group D;Copa do Nordeste, Group D
41143;;Brazil;Copa do Nordeste, Group E;Copa do Nordeste, Group E
31972;;Brazil;Copa do Nordeste, Knockout stage;Copa do Nordeste, Knockout stage
4054;;Brazil;Gaucho;Gaucho
18872;;Brazil;Gaucho, Grand Final;Gaucho, Grand Final
15335;;Brazil;Gaucho, Playoffs;Gaucho, Playoffs
7376;;Brazil;Goiano, 1 Divisao;Goiano, 1 Divisao
18873;;Brazil;Goiano, 1 Divisao, Playoffs;Goiano, 1 Divisao, Playoffs
4270;;Brazil;Mineiro, Modulo I;Mineiro, Modulo I
18874;;Brazil;Mineiro, Modulo I, Playoffs;Mineiro, Modulo I, Playoffs
4049;;Brazil;Paranaense, 1 Divisao;Paranaense, 1 Divisao
15937;;Brazil;Paranaense, 1 Divisao, Placement matches;Paranaense, 1 Divisao, Placement matches
18875;;Brazil;Paranaense, 1 Divisao, Playoffs;Paranaense, 1 Divisao, Playoffs
43404;;Brazil;Paranaense, 1 Divisao, Relegation Round;Paranaense, 1 Divisao, Relegation Round
1765;;Brazil;Paulista, Serie A1;Paulista, Serie A1
5863;;Brazil;Paulista, Serie A1, Placement matches;Paulista, Serie A1, Placement matches
18876;;Brazil;Paulista, Serie A1, Playoffs;Paulista, Serie A1, Playoffs
7485;;Brazil;Paulista, Serie A2;Paulista, Serie A2
24435;;Brazil;Paulista, Serie A2, Playoffs, Final;Paulista, Serie A2, Playoffs, Final
24433;;Brazil;Paulista, Serie A2, Playoffs, Group A;Paulista, Serie A2, Playoffs, Group A
24434;;Brazil;Paulista, Serie A2, Playoffs, Group B;Paulista, Serie A2, Playoffs, Group B
7749;;Brazil;Paulista, Serie A3;Paulista, Serie A3
34711;;Brazil;Paulista, Serie A3, Playoffs, Final;Paulista, Serie A3, Playoffs, Final
34709;;Brazil;Paulista, Serie A3, Playoffs, Group A;Paulista, Serie A3, Playoffs, Group A
34710;;Brazil;Paulista, Serie A3, Playoffs, Group B;Paulista, Serie A3, Playoffs, Group B
7375;;Brazil;Pernambucano, Serie A1;Pernambucano, Serie A1
49642;;Brazil;Pernambucano, Serie A1, Group A;Pernambucano, Serie A1, Group A
49643;;Brazil;Pernambucano, Serie A1, Group B;Pernambucano, Serie A1, Group B
12779;;Brazil;Pernambucano, Serie A1, Placement matches;Pernambucano, Serie A1, Placement matches
18877;;Brazil;Pernambucano, Serie A1, Playoffs;Pernambucano, Serie A1, Playoffs
18878;;Brazil;Pernambucano, Serie A1, Relegation;Pernambucano, Serie A1, Relegation
278;;Brazil;Primeira Liga do Brasil;Primeira Liga do Brasil
49946;;Brazil;Primeira Liga do Brasil, Group I;Primeira Liga do Brasil, Group I
49947;;Brazil;Primeira Liga do Brasil, Group II;Primeira Liga do Brasil, Group II
49948;;Brazil;Primeira Liga do Brasil, Group III;Primeira Liga do Brasil, Group III
49950;;Brazil;Primeira Liga do Brasil, Knockout stage;Primeira Liga do Brasil, Knockout stage
232;;Bulgaria;A PFG;A PFG
33560;;Bulgaria;A PFG, Championship Round;A PFG, Championship Round
33561;;Bulgaria;A PFG, Relegation Round;A PFG, Relegation Round
6211;;Bulgaria;A PFG, Relegation/Promotion;A PFG, Relegation/Promotion
22259;;Bulgaria;B PFG;B PFG
5671;;Bulgaria;B PFG, East;B PFG, East
7312;;Bulgaria;B PFG, West;B PFG, West
377;;Bulgaria;Bulgarian Cup;Bulgarian Cup
4647;;Bulgaria;Super Cup;Super Cup
4712;;Cameroon;Elite One;Elite One
4707;;Canada;Canadian Soccer League;Canadian Soccer League
9269;;Canada;Canadian Soccer League, Playoffs;Canadian Soccer League, Playoffs
35021;;Chile;Copa Chile, Group 1;Copa Chile, Group 1
35022;;Chile;Copa Chile, Group 2;Copa Chile, Group 2
35023;;Chile;Copa Chile, Group 3;Copa Chile, Group 3
35024;;Chile;Copa Chile, Group 4;Copa Chile, Group 4
35025;;Chile;Copa Chile, Group 5;Copa Chile, Group 5
35026;;Chile;Copa Chile, Group 6;Copa Chile, Group 6
35027;;Chile;Copa Chile, Group 7;Copa Chile, Group 7
35028;;Chile;Copa Chile, Group 8;Copa Chile, Group 8
9133;;Chile;Copa Chile, Knockout stage;Copa Chile, Knockout stage
30061;;Chile;Primera B, Apertura;Primera B, Apertura
47891;;Chile;Primera B, Apertura, Playoffs;Primera B, Apertura, Playoffs
30092;;Chile;Primera B, Clausura;Primera B, Clausura
24437;;Chile;Primera B, Playoffs;Primera B, Playoffs
71;;Chile;Primera Division, Apertura;Primera Division, Apertura
19120;;Chile;Primera Division, Apertura Playoffs;Primera Division, Apertura Playoffs
31929;;Chile;Primera Division, Apertura Super Final;Primera Division, Apertura Super Final
19119;;Chile;Primera Division, Clausura;Primera Division, Clausura
19121;;Chile;Primera Division, Clausura Playoffs;Primera Division, Clausura Playoffs
31977;;Chile;Primera Division, Liguilla Pre-Libertadores;Primera Division, Liguilla Pre-Libertadores
34955;;Chile;Primera Division, Liguilla Pre-Sudamericana;Primera Division, Liguilla Pre-Sudamericana
9503;;Chile;Primera Division, Relegation/Promotion Playoffs;Primera Division, Relegation/Promotion Playoffs
24314;;Chile;Primera Division, Torneo Transicion;Primera Division, Torneo Transicion
28669;;Chile;Supercup;Supercup
3583;;China;China League;China League
652;;China;Chinese Super League;Chinese Super League
3536;;China;FA Cup;FA Cup
25589;;China;FA Super Cup;FA Super Cup
35678;;Colombia;Copa Colombia, Group A;Copa Colombia, Group A
35679;;Colombia;Copa Colombia, Group B;Copa Colombia, Group B
35680;;Colombia;Copa Colombia, Group C;Copa Colombia, Group C
35681;;Colombia;Copa Colombia, Group D;Copa Colombia, Group D
35682;;Colombia;Copa Colombia, Group E;Copa Colombia, Group E
35683;;Colombia;Copa Colombia, Group F;Copa Colombia, Group F
41547;;Colombia;Copa Colombia, Group G;Copa Colombia, Group G
41546;;Colombia;Copa Colombia, Group H;Copa Colombia, Group H
5269;;Colombia;Copa Colombia, Knockout stage;Copa Colombia, Knockout stage
19233;;Colombia;Liga Postobon I, Group A;Liga Postobon I, Group A
19234;;Colombia;Liga Postobon I, Group B;Liga Postobon I, Group B
3017;;Colombia;n.i.u.;n.i.u.
19232;;Colombia;Primera A, Apertura;Primera A, Apertura
19235;;Colombia;Primera A, Apertura, Playoffs;Primera A, Apertura, Playoffs
19236;;Colombia;Primera A, Clausura;Primera A, Clausura
17123;;Colombia;Primera A, Clausura, Playoffs;Primera A, Clausura, Playoffs
19239;;Colombia;Primera A, Final;Primera A, Final
19240;;Colombia;Primera A, Grand Final;Primera A, Grand Final
19237;;Colombia;Primera A, Group A;Primera A, Group A
19238;;Colombia;Primera A, Group B;Primera A, Group B
11863;;Colombia;Primera A, Relegation/Promotion;Primera A, Relegation/Promotion
8111;;Colombia;Primera B;Primera B
47649;;Colombia;Primera B, Promotion Playoff;Primera B, Promotion Playoff
40762;;Colombia;Primera B, Promotion, Group A;Primera B, Promotion, Group A
40763;;Colombia;Primera B, Promotion, Group B;Primera B, Promotion, Group B
25415;;Colombia;Torneo Postobon I, Final;Torneo Postobon I, Final
25413;;Colombia;Torneo Postobon I, Group A;Torneo Postobon I, Group A
25414;;Colombia;Torneo Postobon I, Group B;Torneo Postobon I, Group B
25416;;Colombia;Torneo Postobon II;Torneo Postobon II
25417;;Colombia;Torneo Postobon II, Group A;Torneo Postobon II, Group A
25418;;Colombia;Torneo Postobon II, Group B;Torneo Postobon II, Group B
4713;;Costa Rica;Primera Division, Campeonato Invierno;Primera Division, Campeonato Invierno
7291;;Costa Rica;Primera Division, Campeonato Invierno, Playoffs;Primera Division, Campeonato Invierno, Playoffs
3242;;Costa Rica;Primera Division, Campeonato Verano;Primera Division, Campeonato Verano
5921;;Costa Rica;Primera Division, Campeonato Verano, Playoffs;Primera Division, Campeonato Verano, Playoffs
48;;Croatia;1. HNL;1. HNL
5768;;Croatia;1. HNL Relegation/Promotion;1. HNL Relegation/Promotion
4772;;Croatia;2. HNL;2. HNL
170;;Croatia;Croatia Cup;Croatia Cup
2235;;Croatia;Super Cup;Super Cup
681;;Cyprus;1st Division;1st Division
34363;;Cyprus;1st Division, Championship group;1st Division, Championship group
20054;;Cyprus;1st Division, Group A;1st Division, Group A
20055;;Cyprus;1st Division, Group B;1st Division, Group B
20056;;Cyprus;1st Division, Group C;1st Division, Group C
34364;;Cyprus;1st Division, Relegation group;1st Division, Relegation group
27793;;Cyprus;1st Division, Relegation/Promotion Playoffs;1st Division, Relegation/Promotion Playoffs
11076;;Cyprus;2nd Division;2nd Division
838;;Cyprus;Cyprus Cup;Cyprus Cup
5554;;Cyprus;Cyprus Cup, Group 1;Cyprus Cup, Group 1
5555;;Cyprus;Cyprus Cup, Group 2;Cyprus Cup, Group 2
6535;;Cyprus;Supercup;Supercup
49;;Czech Republic;1. Liga;1. Liga
5740;;Czech Republic;1. Liga, Women;1. Liga, Women
20507;;Czech Republic;1. Liga, Women, Group A;1. Liga, Women, Group A
20508;;Czech Republic;1. Liga, Women, Group B;1. Liga, Women, Group B
16216;;Czech Republic;1. Liga, Women, Relegation/Promotion;1. Liga, Women, Relegation/Promotion
190;;Czech Republic;Cup;Cup
843;;Czech Republic;FNL;FNL
13214;;Czech Republic;Super Cup;Super Cup
10752;;Czech Republic;U19 1st Division;U19 1st Division
16280;;Czech Republic;U19 1st Division, Relegation/Promotion Playoffs;U19 1st Division, Relegation/Promotion Playoffs
22129;;Czech Republic;U21;U21
24182;;Czech Republic;Winter League, Final round;Winter League, Final round
24183;;Czech Republic;Winter League, Group A;Winter League, Group A
24184;;Czech Republic;Winter League, Group B;Winter League, Group B
24185;;Czech Republic;Winter League, Group C;Winter League, Group C
24186;;Czech Republic;Winter League, Group D;Winter League, Group D
25296;;Czech Republic;Winter League, Placement matches;Winter League, Placement matches
13;;Denmark;1st Division;1st Division
3422;;Denmark;2nd Division East;2nd Division East
3423;;Denmark;2nd Division West;2nd Division West
49082;;Denmark;2nd Division, Championship Group;2nd Division, Championship Group
4484;;Denmark;2nd Division, Promotion Group;2nd Division, Promotion Group
45168;;Denmark;2nd Division, Pulje 1;2nd Division, Pulje 1
45169;;Denmark;2nd Division, Pulje 2;2nd Division, Pulje 2
45170;;Denmark;2nd Division, Pulje 3;2nd Division, Pulje 3
10881;;Denmark;2nd Division, Relegation Group;2nd Division, Relegation Group
15;;Denmark;DBU Pokalen;DBU Pokalen
12;1;Denmark;Superligaen;Superligaen
4533;;Denmark Amateur;Danmarksserien, Promotion;Danmarksserien, Promotion
468;;Denmark Amateur;Danmarksserien, Pulje 1;Danmarksserien, Pulje 1
469;;Denmark Amateur;Danmarksserien, Pulje 2;Danmarksserien, Pulje 2
470;;Denmark Amateur;Danmarksserien, Pulje 3;Danmarksserien, Pulje 3
16383;;Denmark Amateur;Danmarksserien, Relegation;Danmarksserien, Relegation
40204;;Ecuador;Serie A, Grand Final;Serie A, Grand Final
16888;;Ecuador;Serie A, Playoffs;Serie A, Playoffs
16887;;Ecuador;Serie A, Primera Etapa;Serie A, Primera Etapa
1387;;Ecuador;Serie A, Segunda Etapa;Serie A, Segunda Etapa
4480;;Egypt;Egypt Cup;Egypt Cup
38612;;Egypt;Premier League;Premier League
