UK;DK;;;;
1;1;Soccer;Belgium;Pro League, Relegation Round;15545
1;1;Soccer;Belgium;Pro League, Relegation/Promotion;6159
1;1;Soccer;Belgium;Super Cup;2755
;;Soccer;Belgium;Super League, Women;46128
;;Soccer;Belgium;Tweede Klasse;692
;;Soccer;Belgium;Tweede Klasse, Relegation/Promotion;1212
;;Soccer;Bolivia;Liga Profesional Boliviano;4330
;;Soccer;Bolivia;Liga Profesional Boliviano, Apertura;17139
;;Soccer;Bolivia;Liga Profesional Boliviano, Apertura Playoffs;17141
;;Soccer;Bolivia;Liga Profesional Boliviano, Clausura;17140
;;Soccer;Bolivia;Liga Profesional Boliviano, Clausura Playoffs;17142
;;Soccer;Bolivia;Liga Profesional Boliviano, Relegation/Promotion;20743
;;Soccer;Bosnia & Herzegovina;Cup;1237
;;Soccer;Bosnia & Herzegovina;Premijer Liga;2557
;;Soccer;Bosnia & Herzegovina;Prva Liga - Republic of Srpska, Rel/Prom Playoffs;21002
;;Soccer;Bosnia & Herzegovina;Prva Liga, Federacije BiH;11270
;;Soccer;Bosnia & Herzegovina;Prva Liga, Republic of Srpska;9142
;;Soccer;Brazil;Baiano, 1 Divisao;7359
;;Soccer;Brazil;Baiano, 1 Divisao, Playoffs;18866
;;Soccer;Brazil;Baiano, 1 Divisao, Relegation;18867
;;Soccer;Brazil;Brasileiro Serie A;83
;;Soccer;Brazil;Brasileiro Serie B;1449
;;Soccer;Brazil;Brasileiro Serie C, Group A;27213
;;Soccer;Brazil;Brasileiro Serie C, Group B;27214
;;Soccer;Brazil;Brasileiro Serie C, Playoffs;5115
;;Soccer;Brazil;Carioca, Serie A;959
;;Soccer;Brazil;Carioca, Serie A, Grand Final;18869
;;Soccer;Brazil;Carioca, Serie A, Placement matches;10193
;;Soccer;Brazil;Carioca, Serie A, Playoffs;18868
;;Soccer;Brazil;Carioca, Serie A, Relegation Playoffs;10582
;;Soccer;Brazil;Carioca, Serie A, Trofeu Carlos Alberto;10499
;;Soccer;Brazil;Catarinense, Serie A;7360
;;Soccer;Brazil;Catarinense, Serie A, Championship Round;33601
;;Soccer;Brazil;Catarinense, Serie A, Playoffs;18870
;;Soccer;Brazil;Catarinense, Serie A, Relegation Round;33602
;;Soccer;Brazil;Cearense, Serie A;7370
;;Soccer;Brazil;Cearense, Serie A, Grand Final;18871
;;Soccer;Brazil;Cearense, Serie A, Group A1;40926
;;Soccer;Brazil;Cearense, Serie A, Group A2;40927
;;Soccer;Brazil;Cearense, Serie A, Playoffs;10219
;;Soccer;Brazil;Cearense, Serie A, Relegation;42071
;;Soccer;Brazil;Cearense, Serie A, Second stage;33481
;;Soccer;Brazil;Copa do Brasil;283
;;Soccer;Brazil;Copa do Nordeste, Group A;13149
;;Soccer;Brazil;Copa do Nordeste, Group B;31969
;;Soccer;Brazil;Copa do Nordeste, Group C;31970
;;Soccer;Brazil;Copa do Nordeste, Group D;31971
;;Soccer;Brazil;Copa do Nordeste, Group E;41143
;;Soccer;Brazil;Copa do Nordeste, Knockout stage;31972
;;Soccer;Brazil;Gaucho;4054
;;Soccer;Brazil;Gaucho, Grand Final;18872
;;Soccer;Brazil;Gaucho, Playoffs;15335
;;Soccer;Brazil;Goiano, 1 Divisao;7376
;;Soccer;Brazil;Goiano, 1 Divisao, Playoffs;18873
;;Soccer;Brazil;Mineiro, Modulo I;4270
;;Soccer;Brazil;Mineiro, Modulo I, Playoffs;18874
;;Soccer;Brazil;Paranaense, 1 Divisao;4049
;;Soccer;Brazil;Paranaense, 1 Divisao, Placement matches;15937
;;Soccer;Brazil;Paranaense, 1 Divisao, Playoffs;18875
;;Soccer;Brazil;Paranaense, 1 Divisao, Relegation Round;43404
;;Soccer;Brazil;Paulista, Serie A1;1765
;;Soccer;Brazil;Paulista, Serie A1, Placement matches;5863
;;Soccer;Brazil;Paulista, Serie A1, Playoffs;18876
;;Soccer;Brazil;Paulista, Serie A2;7485
;;Soccer;Brazil;Paulista, Serie A2, Playoffs, Final;24435
;;Soccer;Brazil;Paulista, Serie A2, Playoffs, Group A;24433
;;Soccer;Brazil;Paulista, Serie A2, Playoffs, Group B;24434
;;Soccer;Brazil;Paulista, Serie A3;7749
;;Soccer;Brazil;Paulista, Serie A3, Playoffs, Final;34711
;;Soccer;Brazil;Paulista, Serie A3, Playoffs, Group A;34709
;;Soccer;Brazil;Paulista, Serie A3, Playoffs, Group B;34710
;;Soccer;Brazil;Pernambucano, Serie A1;7375
;;Soccer;Brazil;Pernambucano, Serie A1, Group A;49642
;;Soccer;Brazil;Pernambucano, Serie A1, Group B;49643
;;Soccer;Brazil;Pernambucano, Serie A1, Placement matches;12779
;;Soccer;Brazil;Pernambucano, Serie A1, Playoffs;18877
;;Soccer;Brazil;Pernambucano, Serie A1, Relegation;18878
;;Soccer;Brazil;Primeira Liga do Brasil;278
;;Soccer;Brazil;Primeira Liga do Brasil, Group I;49946
;;Soccer;Brazil;Primeira Liga do Brasil, Group II;49947
;;Soccer;Brazil;Primeira Liga do Brasil, Group III;49948
;;Soccer;Brazil;Primeira Liga do Brasil, Knockout stage;49950
;;Soccer;Bulgaria;A PFG;232
;;Soccer;Bulgaria;A PFG, Championship Round;33560
;;Soccer;Bulgaria;A PFG, Relegation Round;33561
;;Soccer;Bulgaria;A PFG, Relegation/Promotion;6211
;;Soccer;Bulgaria;B PFG;22259
;;Soccer;Bulgaria;B PFG, East;5671
;;Soccer;Bulgaria;B PFG, West;7312
